type,input_type,time_ms,key
scroll,scroll_up,85306.608,dy=1
scroll,scroll_up,86288.892,dy=1
scroll,scroll_up,86307.785,dy=1
scroll,scroll_up,86323.118,dy=1
scroll,scroll_up,86341.219,dy=1
scroll,scroll_up,87422.866,dy=1
scroll,scroll_up,87445.221,dy=1
scroll,scroll_up,87458.757,dy=1
scroll,scroll_up,87476.563,dy=1
scroll,scroll_up,87491.374,dy=1
scroll,scroll_up,88374.720,dy=1
scroll,scroll_up,88394.342,dy=1
scroll,scroll_up,88410.913,dy=1
scroll,scroll_up,88425.563,dy=1
scroll,scroll_up,88443.145,dy=1
scroll,scroll_up,88458.687,dy=1
scroll,scroll_up,88501.728,dy=1
scroll,scroll_up,88534.985,dy=1
scroll,scroll_up,88568.391,dy=1
scroll,scroll_up,88610.464,dy=1
scroll,scroll_up,88659.104,dy=1
scroll,scroll_up,88712.128,dy=1
scroll,scroll_up,88776.565,dy=1
scroll,scroll_up,88850.965,dy=1
scroll,scroll_up,88951.624,dy=1
scroll,scroll_up,89109.961,dy=1
scroll,scroll_down,90021.619,dy=-1
scroll,scroll_down,90041.132,dy=-1
scroll,scroll_down,90057.235,dy=-1
scroll,scroll_down,90073.920,dy=-1
scroll,scroll_down,90091.695,dy=-1
scroll,scroll_down,90107.504,dy=-1
scroll,scroll_down,90114.890,dy=-1
scroll,scroll_down,90123.270,dy=-1
scroll,scroll_down,90131.489,dy=-1
scroll,scroll_down,90141.566,dy=-1
scroll,scroll_down,90148.069,dy=-1
scroll,scroll_down,90156.847,dy=-1
scroll,scroll_down,90164.752,dy=-1
scroll,scroll_down,90174.240,dy=-1
scroll,scroll_down,90185.695,dy=-1
scroll,scroll_down,90190.889,dy=-1
scroll,scroll_down,90198.089,dy=-1
scroll,scroll_down,90207.512,dy=-1
scroll,scroll_down,90214.772,dy=-1
scroll,scroll_down,90223.440,dy=-1
scroll,scroll_down,90231.338,dy=-1
scroll,scroll_down,90240.768,dy=-1
scroll,scroll_down,90251.723,dy=-1
scroll,scroll_down,90988.476,dy=-1
scroll,scroll_down,91008.186,dy=-1
scroll,scroll_down,91023.493,dy=-1
scroll,scroll_down,91041.070,dy=-1
scroll,scroll_down,91056.553,dy=-1
scroll,scroll_down,91074.669,dy=-1
scroll,scroll_down,91090.232,dy=-1
scroll,scroll_down,91107.687,dy=-1
scroll,scroll_down,91123.394,dy=-1
scroll,scroll_down,91140.805,dy=-1
scroll,scroll_down,91156.705,dy=-1
scroll,scroll_down,91256.913,dy=-1
click,right_click,96366.790,right
click,right_click,96373.288,right
click,left_click,102339.505,left
click,left_click,102488.419,left
click,left_click,103975.992,left
click,left_click,103976.313,left
scroll,scroll_down,105858.701,dy=-1
scroll,scroll_down,106009.303,dy=-1
scroll,scroll_down,108588.338,dy=-1
click,left_click,112374.122,left
click,left_click,112374.933,left
click,left_click,112955.083,left
click,left_click,112975.347,left
click,left_click,113157.137,left
click,left_click,113157.628,left
click,left_click,115491.373,left
click,left_click,115491.800,left
click,left_click,116675.773,left
click,left_click,116676.530,left
click,left_click,120976.695,left
click,left_click,120977.267,left
scroll,scroll_up,122648.621,dy=1
keydown,other,133075.014,Key.cmd
keyup,other,133190.987,k
keydown,other,133494.600,c
keyup,other,133589.980,c
keydown,other,133609.859,n
keyup,other,133662.244,n
keydown,other,133757.347,c
keyup,other,133884.450,c
keydown,other,134034.031,l
keyup,other,134118.262,l
keydown,other,134294.094,Key.enter
keyup,other,134381.215,Key.enter
scroll,scroll_up,134793.889,dy=1
scroll,scroll_up,134811.468,dy=1
scroll,scroll_up,134828.882,dy=1
scroll,scroll_down,137138.613,dy=-1
scroll,scroll_down,137158.616,dy=-1
scroll,scroll_down,137174.087,dy=-1
scroll,scroll_down,137189.888,dy=-1
scroll,scroll_down,137207.171,dy=-1
scroll,scroll_down,137223.540,dy=-1
scroll,scroll_down,137231.723,dy=-1
scroll,scroll_down,137241.458,dy=-1
scroll,scroll_down,137247.759,dy=-1
scroll,scroll_down,137256.522,dy=-1
scroll,scroll_down,137264.254,dy=-1
scroll,scroll_down,137274.428,dy=-1
scroll,scroll_down,137281.066,dy=-1
scroll,scroll_down,137289.667,dy=-1
scroll,scroll_down,137297.721,dy=-1
scroll,scroll_down,137307.434,dy=-1
scroll,scroll_down,137314.386,dy=-1
scroll,scroll_down,137323.449,dy=-1
scroll,scroll_down,137331.396,dy=-1
scroll,scroll_down,137340.740,dy=-1
scroll,scroll_down,137347.956,dy=-1
scroll,scroll_down,137356.549,dy=-1
scroll,scroll_down,137365.571,dy=-1
scroll,scroll_down,137374.015,dy=-1
scroll,scroll_down,137380.842,dy=-1
scroll,scroll_down,137389.967,dy=-1
scroll,scroll_down,137397.072,dy=-1
scroll,scroll_down,137423.072,dy=-1
scroll,scroll_down,137447.028,dy=-1
scroll,scroll_down,137480.820,dy=-1
scroll,scroll_down,137514.622,dy=-1
scroll,scroll_down,140158.381,dy=-1
scroll,scroll_up,145804.427,dy=1
